Epoch 1: Loss 0.5518, BLEU 0.7957, STA 0.9467, SIM 0.7931, FL 0.4338, J 0.3269
Epoch 2: Loss 0.5165, BLEU 0.7885, STA 0.9477, SIM 0.7877, FL 0.4313, J 0.3243
Epoch 3: Loss 0.5118, BLEU 0.7854, STA 0.9485, SIM 0.7894, FL 0.4321, J 0.3261
Epoch 4: Loss 0.5068, BLEU 0.7907, STA 0.9492, SIM 0.7911, FL 0.4321, J 0.3266
Epoch 5: Loss 0.5001, BLEU 0.7878, STA 0.9508, SIM 0.7967, FL 0.4305, J 0.3282
Epoch 6: Loss 0.5004, BLEU 0.7899, STA 0.9517, SIM 0.7925, FL 0.4321, J 0.3279
Epoch 7: Loss 0.4983, BLEU 0.7899, STA 0.9483, SIM 0.7994, FL 0.4313, J 0.3292
Epoch 8: Loss 0.4976, BLEU 0.7914, STA 0.9492, SIM 0.7969, FL 0.4296, J 0.3272
Epoch 9: Loss 0.4883, BLEU 0.7872, STA 0.9492, SIM 0.7879, FL 0.4280, J 0.3227
Epoch 10: Loss 0.4957, BLEU 0.7923, STA 0.9458, SIM 0.7992, FL 0.4338, J 0.3297
Epoch 11: Loss 0.4887, BLEU 0.7887, STA 0.9452, SIM 0.7924, FL 0.4280, J 0.3227
Epoch 12: Loss 0.4884, BLEU 0.7855, STA 0.9508, SIM 0.7894, FL 0.4238, J 0.3197
Epoch 13: Loss 0.4905, BLEU 0.7898, STA 0.9475, SIM 0.7902, FL 0.4271, J 0.3217
Epoch 14: Loss 0.4916, BLEU 0.7882, STA 0.9483, SIM 0.7894, FL 0.4288, J 0.3220
Epoch 15: Loss 0.4902, BLEU 0.7923, STA 0.9475, SIM 0.7954, FL 0.4288, J 0.3246
Epoch 16: Loss 0.4881, BLEU 0.7919, STA 0.9483, SIM 0.7930, FL 0.4280, J 0.3231
Epoch 17: Loss 0.4875, BLEU 0.7874, STA 0.9492, SIM 0.7852, FL 0.4271, J 0.3200
Epoch 18: Loss 0.4830, BLEU 0.7872, STA 0.9485, SIM 0.7852, FL 0.4280, J 0.3212
Epoch 19: Loss 0.4835, BLEU 0.7875, STA 0.9485, SIM 0.7880, FL 0.4246, J 0.3188
Epoch 20: Loss 0.4853, BLEU 0.7850, STA 0.9508, SIM 0.7850, FL 0.4280, J 0.3211
Epoch 21: Loss 0.4884, BLEU 0.7934, STA 0.9475, SIM 0.7919, FL 0.4305, J 0.3245
Epoch 22: Loss 0.4836, BLEU 0.7880, STA 0.9475, SIM 0.7889, FL 0.4296, J 0.3227
Epoch 23: Loss 0.4837, BLEU 0.7883, STA 0.9492, SIM 0.7886, FL 0.4305, J 0.3239
Epoch 24: Loss 0.4872, BLEU 0.7912, STA 0.9492, SIM 0.7895, FL 0.4280, J 0.3224
Epoch 25: Loss 0.4853, BLEU 0.7912, STA 0.9475, SIM 0.7902, FL 0.4305, J 0.3242
Epoch 26: Loss 0.4855, BLEU 0.7914, STA 0.9467, SIM 0.7936, FL 0.4380, J 0.3306
Epoch 27: Loss 0.4858, BLEU 0.7966, STA 0.9442, SIM 0.7925, FL 0.4330, J 0.3248
Epoch 28: Loss 0.4785, BLEU 0.7877, STA 0.9475, SIM 0.7905, FL 0.4380, J 0.3292
Epoch 29: Loss 0.4813, BLEU 0.7905, STA 0.9467, SIM 0.7929, FL 0.4338, J 0.3264
Epoch 30: Loss 0.4813, BLEU 0.7908, STA 0.9458, SIM 0.7931, FL 0.4346, J 0.3266
Epoch 31: Loss 0.4849, BLEU 0.7936, STA 0.9450, SIM 0.7938, FL 0.4296, J 0.3230
Epoch 32: Loss 0.4814, BLEU 0.7912, STA 0.9458, SIM 0.7913, FL 0.4346, J 0.3268
Epoch 33: Loss 0.4824, BLEU 0.7907, STA 0.9442, SIM 0.7913, FL 0.4346, J 0.3257
Epoch 34: Loss 0.4855, BLEU 0.7970, STA 0.9425, SIM 0.7931, FL 0.4313, J 0.3228
Epoch 35: Loss 0.4814, BLEU 0.7923, STA 0.9450, SIM 0.7928, FL 0.4338, J 0.3254
Epoch 36: Loss 0.4825, BLEU 0.7941, STA 0.9442, SIM 0.7901, FL 0.4330, J 0.3237
Epoch 37: Loss 0.4860, BLEU 0.7963, STA 0.9433, SIM 0.7940, FL 0.4363, J 0.3274
Epoch 38: Loss 0.4808, BLEU 0.7915, STA 0.9450, SIM 0.7896, FL 0.4363, J 0.3259
Epoch 39: Loss 0.4802, BLEU 0.7949, STA 0.9425, SIM 0.7969, FL 0.4405, J 0.3305
Epoch 40: Loss 0.4823, BLEU 0.7895, STA 0.9458, SIM 0.7931, FL 0.4305, J 0.3246
