Epoch 1: Loss 3.7291, BLEU 0.0000, STA 1.0000, SIM 0.2484, FL 1.0000, J 0.2484
Epoch 51: Loss 2.5152, BLEU 0.4479, STA 0.7270, SIM 0.7381, FL 0.2871, J 0.1541
Epoch 101: Loss 2.5099, BLEU 0.4756, STA 0.7137, SIM 0.7534, FL 0.3544, J 0.1883
Epoch 151: Loss 2.4869, BLEU 0.4567, STA 0.7904, SIM 0.7362, FL 0.3469, J 0.2016
Epoch 201: Loss 2.4567, BLEU 0.4481, STA 0.8079, SIM 0.7313, FL 0.3361, J 0.1957
Epoch 251: Loss 2.4224, BLEU 0.4436, STA 0.8177, SIM 0.7192, FL 0.3436, J 0.1993
Epoch 301: Loss 2.4885, BLEU 0.4725, STA 0.8029, SIM 0.7343, FL 0.3555, J 0.2069
Epoch 351: Loss 2.4701, BLEU 0.4826, STA 0.8070, SIM 0.7448, FL 0.3471, J 0.2058
Epoch 401: Loss 2.3989, BLEU 0.3857, STA 0.8702, SIM 0.6803, FL 0.3263, J 0.1888
Epoch 451: Loss 2.3733, BLEU 0.4133, STA 0.8669, SIM 0.6861, FL 0.3305, J 0.1926
Epoch 501: Loss 2.4155, BLEU 0.4569, STA 0.8362, SIM 0.7210, FL 0.3328, J 0.1980
Epoch 551: Loss 2.4214, BLEU 0.4347, STA 0.8560, SIM 0.7106, FL 0.3338, J 0.2009
Epoch 601: Loss 2.4512, BLEU 0.4698, STA 0.8419, SIM 0.7322, FL 0.3303, J 0.2029
Epoch 651: Loss 2.4214, BLEU 0.4635, STA 0.8510, SIM 0.7131, FL 0.1696, J 0.1015
Epoch 701: Loss 2.4067, BLEU 0.4616, STA 0.8475, SIM 0.7040, FL 0.1688, J 0.0999
Epoch 751: Loss 2.4236, BLEU 0.4384, STA 0.8667, SIM 0.6937, FL 0.1755, J 0.1050
Epoch 801: Loss 2.3881, BLEU 0.4193, STA 0.8742, SIM 0.6759, FL 0.1623, J 0.0958
Epoch 851: Loss 2.4232, BLEU 0.4569, STA 0.8500, SIM 0.7038, FL 0.1730, J 0.1044
Epoch 901: Loss 2.4039, BLEU 0.4407, STA 0.8717, SIM 0.6888, FL 0.1680, J 0.1029
Epoch 951: Loss 2.3767, BLEU 0.4332, STA 0.8717, SIM 0.6829, FL 0.1696, J 0.1029
